"Date","T_min","T_max","RH_min","RH_max","WS","SH","T_mean","RH","Ra","Rs","ETo_H","ETo_BC","ETo_HS","ETo_RZ","ETo_DR","ETo_RI","ETo_PT","ETo_MK","ETo_DA","ETo_RH","ETo_ME","ETo_RO","ETo_SH","ETo_AH","ETo"
2010-01-01,10.6,19.4,61,88,1.58333333333333,4.3,15,74.5,22.39,10.22,4.53,4.12,2.04,4.15,1.7,1.95,3.88,1.46,0.25,0.23,2.43,2.45,3.22,3.15,1.85
2010-01-02,8.9,17.4,57,93,1.08333333333333,0,13.15,75,22.44,5.61,2.34,3.89,1.9,3.86,1.62,1.03,2.77,0.71,0.21,0.2,1.99,2.18,2.81,3.03,1.34
2010-01-03,9.4,16.3,71,87,1.13888888888889,0,12.85,79,22.5,5.62,2.33,3.85,1.7,3.45,1.52,1.02,2.77,0.71,0.15,0.15,1.49,1.81,2.6,2.91,1.21
2010-01-04,10.1,14.5,73,85,1.52777777777778,0,12.3,79,22.55,5.64,2.29,3.78,1.34,2.71,1.32,1,2.74,0.7,0.15,0.14,1.47,1.75,2.49,2.89,1.25
2010-01-05,11,15,69,88,1.08333333333333,0,13,78.5,22.62,5.65,2.35,3.87,1.31,2.65,1.3,1.02,2.8,0.72,0.15,0.15,1.46,1.86,2.65,2.94,1.2
2010-01-06,5.9,16.3,65,93,0.805555555555556,0,11.1,79,22.68,5.67,2.21,3.63,1.98,4.03,1.67,0.99,2.67,0.68,0.15,0.15,1.43,1.64,2.25,2.85,1.13
2010-01-07,5,18.4,61,93,0.861111111111111,5.9,11.7,77,22.75,12.11,4.82,3.7,2.31,4.68,1.82,2.17,3.96,1.62,0.19,0.19,1.8,1.86,2.43,2.93,1.6
2010-01-08,6.7,19.9,53,91,0.472222222222222,4.8,13.3,72,22.82,10.94,4.59,3.9,2.42,4.91,1.89,2.03,3.85,1.51,0.24,0.24,2.2,2.46,2.96,3.17,1.5
2010-01-09,6.2,21.4,56,91,0.555555555555556,7,13.8,73.5,22.9,13.37,5.71,3.97,2.65,5.38,1.99,2.52,4.47,1.9,0.24,0.24,2.29,2.39,3,3.16,1.73
2010-01-10,10.8,20.8,65,86,1.27777777777778,4.5,15.8,75.5,22.98,10.67,4.84,4.22,2.29,4.65,1.84,2.08,4.2,1.56,0.24,0.23,2.31,2.45,3.35,3.22,1.83
2010-01-11,9,17.6,71,82,1.30555555555556,3.7,13.3,76.5,23.06,9.83,4.13,3.9,1.97,4.01,1.68,1.81,3.76,1.35,0.18,0.17,1.77,2.07,2.78,3.06,1.59
