Date,T_min,T_max,RH_min,RH_max,WS,SH,T_mean,RH,Ra,Rs,ETo
01-01-2010,10.6,19.4,61,88,1.583333333,4.3,15,74.5,22.39,10.22,1.85
02-01-2010,8.9,17.4,57,93,1.083333333,0,13.15,75,22.44,5.61,1.34
03-01-2010,9.4,16.3,71,87,1.138888889,0,12.85,79,22.5,5.62,1.21
04-01-2010,10.1,14.5,73,85,1.527777778,0,12.3,79,22.55,5.64,1.25
05-01-2010,11,15,69,88,1.083333333,0,13,78.5,22.62,5.65,1.2
06-01-2010,5.9,16.3,65,93,0.805555556,0,11.1,79,22.68,5.67,1.13
07-01-2010,5,18.4,61,93,0.861111111,5.9,11.7,77,22.75,12.11,1.6
08-01-2010,6.7,19.9,53,91,0.472222222,4.8,13.3,72,22.82,10.94,1.5
09-01-2010,6.2,21.4,56,91,0.555555556,7,13.8,73.5,22.9,13.37,1.73
10-01-2010,10.8,20.8,65,86,1.277777778,4.5,15.8,75.5,22.98,10.67,1.83
11-01-2010,9,17.6,71,82,1.305555556,3.7,13.3,76.5,23.06,9.83,1.59
12-01-2010,9,13.5,62,79,1.805555556,0,11.25,70.5,23.15,5.79,1.51
13-01-2010,5.5,15.8,71,81,0.972222222,0.9,10.65,76,23.24,6.8,1.23
14-01-2010,9.5,15.9,56,92,0.777777778,0.3,12.7,74,23.33,6.17,1.26
15-01-2010,8.9,20.9,72,93,1.333333333,5,14.9,82.5,23.43,11.41,1.75
16-01-2010,10.7,18.6,82,90,1.527777778,3.4,14.65,86,23.53,9.67,1.49
17-01-2010,10.6,13.3,84,91,1.472222222,0,11.95,87.5,23.64,5.91,1.06
18-01-2010,8.3,13.2,86,93,1.222222222,0,10.75,89.5,23.74,5.94,0.98
19-01-2010,8.9,11.7,77,89,1.583333333,0,10.3,83,23.85,5.96,1.12
20-01-2010,8.9,15.6,68,62,1.833333333,2.4,12.25,65,23.97,8.7,1.84
21-01-2010,6.7,16.3,69.5,95,1.388888889,1.2,11.5,82.25,24.09,7.38,1.34
22-01-2010,6.4,13.4,71,93,1.111111111,1.2,9.9,82,24.21,7.42,1.2
23-01-2010,7.5,14.5,67,93,1.041666667,3.9,11,80,24.33,10.53,1.46
24-01-2010,7.6,16.7,75,93,0.972222222,3.7,12.15,84,24.45,10.35,1.45
25-01-2010,6.5,17.5,52,94,0.555555556,5,12,73,24.58,11.89,1.61
26-01-2010,5.9,21.4,55,93,0.75,6.4,13.65,74,24.72,13.56,1.94
27-01-2010,9.2,20.8,63,93,1.166666667,4.8,15,78,24.85,11.77,1.92
28-01-2010,9.2,22.4,40,95,0.722222222,5.2,15.8,67.5,24.99,12.29,2.04
29-01-2010,6.9,23.3,45,91,0.527777778,5.4,15.1,68,25.13,12.58,1.93
30-01-2010,9.8,14.2,48,90,0.583333333,6.9,12,69,25.27,14.4,1.79
31-01-2010,8.1,24.5,29,86,0.861111111,8.4,16.3,57.5,25.42,16.23,2.62
01-02-2010,7.2,25.8,29,88,0.916666667,8.4,16.5,58.5,25.56,16.31,2.76
02-02-2010,9.6,24.8,28,75,0.972222222,8,17.2,51.5,25.71,15.91,2.8
03-02-2010,9.3,25.3,32,84,1.138888889,8.5,17.3,58,25.86,16.58,2.97
04-02-2010,7.5,24.2,37,86,1.166666667,8.7,15.85,61.5,26.02,16.9,2.86
05-02-2010,7,23.5,33,86,0.972222222,6.4,15.25,59.5,26.18,14.22,2.54
06-02-2010,8.2,24,44,93,0.972222222,8,16.1,68.5,26.33,16.22,2.61
07-02-2010,9.2,25,49,92,0.361111111,5.7,17.1,70.5,26.49,13.52,2.06
08-02-2010,10.1,25.5,43,97,0.555555556,4.5,17.8,70,26.66,12.13,2.13
09-02-2010,13.6,26.2,68,88,0.388888889,2.5,19.9,78,26.82,9.76,1.8
10-02-2010,13.3,22.2,53,89,1.638888889,0,17.75,71,26.99,6.75,2.07
11-02-2010,12.9,26.6,50,92,0.722222222,5.9,19.75,71,27.15,14.05,2.5
12-02-2010,9.8,27.5,62,91,0.916666667,4.9,18.65,76.5,27.32,12.88,2.39
13-02-2010,11,22.5,51,93,1.194444444,0,16.75,72,27.49,6.87,1.9
14-02-2010,14.5,24.5,58,87,2.027777778,9.3,19.5,72.5,27.66,18.5,3.33
15-02-2010,10,23.5,45,93,1.111111111,6.6,16.75,69,27.84,15.22,2.68
16-02-2010,12.1,25.5,48,89,0.75,6.5,18.8,68.5,28.01,15.17,2.62
17-02-2010,10.5,26.5,37,90,0.555555556,7.3,18.5,63.5,28.19,16.26,2.66
18-02-2010,10.6,27.2,29,76,1.694444444,8.5,18.9,52.5,28.36,17.86,3.95
19-02-2010,9.2,25.5,41,84,1.805555556,9.5,17.35,62.5,28.54,19.22,3.68
20-02-2010,9.3,24.4,44,92,0.888888889,8.9,16.85,68,28.72,18.55,2.95
21-02-2010,10.35,25.2,46,88,0.777777778,8.8,17.775,67,28.9,18.51,2.96
22-02-2010,11.4,26,45,91,0.833333333,8.1,18.7,68,29.08,17.7,3
23-02-2010,11.5,26.2,57,88,0.472222222,3.7,18.85,72.5,29.26,12.1,2.19
24-02-2010,13.8,26.5,45,86.5,0.805555556,3.4,20.15,65.75,29.44,11.77,2.5
25-02-2010,12.2,28.3,39,85,0.833333333,8.7,20.25,62,29.62,18.74,3.35
26-02-2010,14.2,28.2,43,88,NA,9.1,21.2,65.5,29.8,19.36,NA
27-02-2010,13.9,28,47,91,NA,8,20.95,69,29.98,18,NA
28-02-2010,14.5,28.5,48,89,NA,7.7,21.5,68.5,30.16,17.69,NA
01-03-2010,13.3,32.1,56,51,NA,7.9,22.7,53.5,30.34,18.04,NA
02-03-2010,14.75,31.8,55,66,NA,6.6,23.275,60.5,30.53,16.4,NA
03-03-2010,16.2,31.5,56,81,NA,7.5,23.85,68.5,30.71,17.68,NA
04-03-2010,14,29.5,57,84,NA,5.5,21.75,70.5,30.89,15.08,NA
05-03-2010,17.1,30.5,69,85,1.027777778,8.6,23.8,77,31.07,19.32,3.66
06-03-2010,17,32.6,55,84,1.944444444,8,24.8,69.5,31.25,18.6,4.37
07-03-2010,13.9,29.5,39,76,1.777777778,3.9,21.7,57.5,31.43,13.13,3.81
08-03-2010,14.1,30,34,86,1.611111111,7.6,22.05,60,31.61,18.22,4.26
09-03-2010,12.1,30,39,82,1.527777778,8.8,21.05,60.5,31.79,19.94,4.28
10-03-2010,10.8,29,40,79,0.916666667,9.3,19.9,59.5,31.97,20.7,3.78
11-03-2010,10.9,29.5,41,80,0.888888889,9.2,20.2,60.5,32.15,20.65,3.79
12-03-2010,13.7,30,43,81,0.805555556,7.5,21.85,62,32.32,18.4,3.57
13-03-2010,13.3,28.9,35,82,0.972222222,3.7,21.1,58.5,32.5,13.23,3.16
14-03-2010,14.4,31.4,35,80,1.277777778,8.6,22.9,57.5,32.67,20.08,4.38
15-03-2010,14.9,32,37,85,0.916666667,8.2,23.45,61,32.85,19.6,4.03
16-03-2010,17.5,33.4,57,78,1,8,25.45,67.5,33.02,19.4,4.11
17-03-2010,18.7,29.9,43,81,1.805555556,5.6,24.3,62,33.19,16.12,4.16
